;Date;Production;Prediction
925;2032-09-27;1033952752.3082823;1
926;2032-10-04;989692578.5935965;1
927;2032-10-11;1014641102.255521;1
928;2032-10-18;1029290757.5940813;1
929;2032-10-25;1008283357.8194779;1
930;2032-11-01;1042741793.3343961;1
931;2032-11-08;1024123397.0643923;1
932;2032-11-15;1029665726.9783418;1
933;2032-11-22;1096061354.7147071;1
934;2032-11-29;1132241122.6814132;1
935;2032-12-06;1119353526.901873;1
936;2032-12-13;923592386.1199838;1
937;2032-12-20;937800285.6097927;1
938;2032-12-27;1070434392.1472578;1
939;2033-01-03;1120363142.0099237;1
940;2033-01-10;1254097127.6540616;1
941;2033-01-17;1214451297.2084568;1
942;2033-01-24;1078605806.3866022;1
943;2033-01-31;1153650686.692527;1
944;2033-02-07;1028732162.2353958;1
945;2033-02-14;1092836504.5910685;1
946;2033-02-21;1105531419.7472599;1
947;2033-02-28;1013459016.7913735;1
948;2033-03-07;1049967313.2741114;1
949;2033-03-14;1018471170.7880042;1
950;2033-03-21;1099609085.775391;1
951;2033-03-28;1081356712.8474007;1
952;2033-04-04;1039858203.1288542;1
953;2033-04-11;1089455422.772443;1
954;2033-04-18;1113223580.0231788;1
955;2033-04-25;1148280633.5099416;1
956;2033-05-02;1242467378.5982044;1
957;2033-05-09;1243024983.3002284;1
958;2033-05-16;1131178960.118065;1
959;2033-05-23;1143570461.6874013;1
960;2033-05-30;1188374735.5839643;1
961;2033-06-06;1198212797.8516328;1
962;2033-06-13;1271368340.5446255;1
963;2033-06-20;1292834286.2102566;1
964;2033-06-27;1283202294.4989886;1
965;2033-07-04;1328963146.3568592;1
966;2033-07-11;1353862070.9176362;1
967;2033-07-18;1293552704.8466973;1
968;2033-07-25;1214933468.2447264;1
969;2033-08-01;1252569447.8658407;1
970;2033-08-08;1226967042.7870812;1
971;2033-08-15;1206213711.3752367;1
972;2033-08-22;1130457979.0751116;1
973;2033-08-29;1156818797.920933;1
974;2033-09-05;1083344425.5077624;1
975;2033-09-12;1019885101.547434;1
976;2033-09-19;1020709346.3099861;1
977;2033-09-26;1033952752.3082823;1
978;2033-10-03;989692578.5935965;1
979;2033-10-10;1014641102.255521;1
980;2033-10-17;1029290757.5940813;1
981;2033-10-24;1008283357.8194779;1
982;2033-10-31;1042741793.3343961;1
983;2033-11-07;1024123397.0643923;1
984;2033-11-14;1029665726.9783418;1
985;2033-11-21;1096061354.7147071;1
986;2033-11-28;1132241122.6814132;1
987;2033-12-05;1119353526.901873;1
988;2033-12-12;923592386.1199838;1
989;2033-12-19;937800285.6097927;1
990;2033-12-26;1070434392.1472578;1
991;2034-01-02;1120363142.0099237;1
992;2034-01-09;1254097127.6540616;1
993;2034-01-16;1214451297.2084568;1
994;2034-01-23;1078605806.3866022;1
995;2034-01-30;1153650686.692527;1
996;2034-02-06;1028732162.2353958;1
997;2034-02-13;1092836504.5910685;1
998;2034-02-20;1105531419.7472599;1
999;2034-02-27;1013459016.7913735;1
1000;2034-03-06;1049967313.2741114;1
1001;2034-03-13;1018471170.7880042;1
1002;2034-03-20;1099609085.775391;1
1003;2034-03-27;1081356712.8474007;1
1004;2034-04-03;1039858203.1288542;1
1005;2034-04-10;1089455422.772443;1
1006;2034-04-17;1113223580.0231788;1
1007;2034-04-24;1148280633.5099416;1
1008;2034-05-01;1242467378.5982044;1
1009;2034-05-08;1243024983.3002284;1
1010;2034-05-15;1131178960.118065;1
1011;2034-05-22;1143570461.6874013;1
1012;2034-05-29;1188374735.5839643;1
1013;2034-06-05;1198212797.8516328;1
1014;2034-06-12;1271368340.5446255;1
1015;2034-06-19;1292834286.2102566;1
1016;2034-06-26;1283202294.4989886;1
1017;2034-07-03;1328963146.3568592;1
1018;2034-07-10;1353862070.9176362;1
1019;2034-07-17;1293552704.8466973;1
